transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,month_name,year_month
T12210,U118,2022-01-25,Expense,Rent,20509.0,Bank Transfr,bangalore,Train ticket,2022,1,ene.,2022-01
T6904,U063,2024-09-13,Income,Bonus,62193.0,UPI,CHE,Electricity bill,2024,9,sep.,2024-09
T0713,U055,2023-08-22,Expense,Utilities,3367.0,Bank_Transfer,Ahmedabad,Monthly rent payment,2023,8,ago.,2023-08
T7323,U009,2024-05-13,Expense,Health,2721.0,UPI,BANGALORE,EMI payment,2024,5,may.,2024-05
T10231,U089,2023-02-13,Expense,Rent,2962.0,UPI,ahmedabad,Books,2023,2,feb.,2023-02
T11570,U052,2022-09-23,Expense,Travel,8283.0,Card,AHMEDABAD,...,2022,9,sep.,2022-09
T13926,U134,2024-09-16,Expense,Utilities,3520.0,Cash,MUMBAI,test,2024,9,sep.,2024-09
T0884,U115,2024-04-07,Expense,Travel,5524.0,Bank Transfer,Hyderabad,Fixed deposit,2024,4,abr.,2024-04
T5033,U119,2021-12-18,Expense,Travel,999999.0,UPI,pune,Lunch,2021,12,dic.,2021-12
T8492,U101,2024-11-14,Expense,Entertainment,1800.0,Bank Transfer,ahmedabad,Internet bill,2024,11,nov.,2024-11
T4699,U090,2023-08-07,Income,Investment,32146.0,Cash,Delhi,ATM withdrawal,2023,8,ago.,2023-08
T1841,U097,2021-03-10,Income,Others,57173.0,Cash,,,2021,3,mar.,2021-03
T3041,U018,2021-07-11,Expense,Rent,2966.0,Cash,bangalore,EMI payment,2021,7,jul.,2021-07
T7693,U116,2024-08-31,Expense,Entertainment,1004.0,Bank Transfer,KOLKATA,,2024,8,ago.,2024-08
T0071,U078,2024-04-26,Expense,Rent,6141.0,Cash,Pune,,2024,4,abr.,2024-04
T12197,U026,2022-04-18,Expense,Travel,9154.0,Crd,DELHI,...,2022,4,abr.,2022-04
T8563,U080,2024-12-29,Expense,Travel,9705.0,Cash,,misc,2024,12,dic.,2024-12
T6626,U049,2022-08-14,Expense,Food,2637.0,Cash,jaipur,Fixed deposit,2022,8,ago.,2022-08
T7302,U102,2024-09-19,Expense,Food,1073.0,Crd,lucknow,,2024,9,sep.,2024-09
T3552,U095,2024-01-21,Income,Bonus,34145.0,Bank Transfer,HYDERABAD,!!!,2024,1,ene.,2024-01
T1620,U040,2024-08-30,Expense,Utilities,527.0,Cash,MUM,,2024,8,ago.,2024-08
T7912,U115,2022-06-15,Expense,Savings,5195.0,UPI,LUC,Grocery shopping,2022,6,jun.,2022-06
T3571,U064,2024-10-05,Expense,Entertainment,3143.0,UPI,CHENNAI,Books,2024,10,oct.,2024-10
T10957,U081,2023-08-06,Expense,Travel,2135.0,Cash,Lucknow,Medicine,2023,8,ago.,2023-08
T0294,U080,2024-12-25,Expense,Food,2163.0,UPI,mumbai,Doctor consultation,2024,12,dic.,2024-12
T9414,U149,2024-06-09,Expense,Rent,42078.0,UPI,Kolkata,,2024,6,jun.,2024-06
T10537,U079,2023-01-08,Expense,Food,2778.0,UPI,Ahmedabad,...,2023,1,ene.,2023-01
T1125,U105,2024-11-22,Expense,Health,3929.0,Crd,,Shopping,2024,11,nov.,2024-11
T8978,U103,2024-10-05,Income,Freelance,23852.0,Crd,LUC,Coffee,2024,10,oct.,2024-10
T5936,U022,2021-06-13,Expense,Unknown,6856.0,Unknown,Chennai,Shopping,2021,6,jun.,2021-06
T3751,U103,2024-05-31,Income,Bonus,49639.0,Unknown,hyderabad,Online course,2024,5,may.,2024-05
T0626,U122,2024-08-19,Expense,Education,3150.0,Banktransfer,CHE,Coffee,2024,8,ago.,2024-08
T9500,U090,2022-06-07,Expense,Health,9408.0,Cash,hyderabad,Electricity bill,2022,6,jun.,2022-06
T1537,U056,2022-06-25,Expense,Entertainment,4114.0,UPI,Delhi,Fixed deposit,2022,6,jun.,2022-06
T9185,U117,2022-12-12,Income,Bonus,14249.0,Bank Transfr,LUCKNOW,,2022,12,dic.,2022-12
T7093,U096,2023-03-29,Expense,Travel,9681.0,UPI,delhi,Online course,2023,3,mar.,2023-03
T1990,U121,2022-03-29,Expense,Travel,3011.0,Crd,Kolkata,Grocery shopping,2022,3,mar.,2022-03
T4706,U150,2024-06-13,Expense,Health,3150.0,UPI,Jaipur,,2024,6,jun.,2024-06
T8416,U133,2023-05-05,Income,Bonus,32789.0,Cash,bangalore,Lunch,2023,5,may.,2023-05
T11932,U100,2023-02-10,Expense,Utilities,6704.0,UPI,MUM,Doctor consultation,2023,2,feb.,2023-02
T4683,U062,2022-08-27,Expense,Travel,4427.0,Card,Chennai,Gym membership,2022,8,ago.,2022-08
T10528,U071,2021-11-27,Expense,Entertainment,3121.0,Bank_Transfer,PUNE,Grocery shopping,2021,11,nov.,2021-11
T10806,U149,2024-05-19,Expense,Food,3802.0,UPI,Jaipur,Petrol,2024,5,may.,2024-05
T10505,U099,2021-03-06,Expense,Education,544.0,UPI,Ahmedabad,Lunch,2021,3,mar.,2021-03
T13682,U145,2023-03-09,Expense,Travel,9053.0,Unknown,LUCKNOW,...,2023,3,mar.,2023-03
T12807,U029,2021-06-05,Income,Freelance,32381.0,Bank Transfer,chennai,...,2021,6,jun.,2021-06
T6557,U007,2023-01-28,Expense,Travel,8305.0,UPI,pune,test,2023,1,ene.,2023-01
T0409,U137,2021-02-08,Expense,Utilities,8841.0,Unknown,mumbai,,2021,2,feb.,2021-02
T10784,U022,2021-04-30,Income,Investment,46219.0,Crd,Lucknow,,2021,4,abr.,2021-04
T12395,U062,2021-04-10,Expense,Utilities,4451.0,Bank Transfer,MUMBAI,...,2021,4,abr.,2021-04
T1882,U101,2022-09-25,Expense,Education,9358.0,Crd,mumbai,,2022,9,sep.,2022-09
T13924,U035,2021-08-24,Expense,Rent,3569.0,Cash,jaipur,Online course,2021,8,ago.,2021-08
T13453,U110,2024-11-05,Expense,Rent,2979.0,Cash,HYD,Medicine,2024,11,nov.,2024-11
T9836,U058,2024-09-11,Expense,Travel,1863.0,Bank_Transfer,hyderabad,Lunch,2024,9,sep.,2024-09
T13845,U066,2022-06-24,Expense,Rent,34984.0,UPI,chennai,Petrol,2022,6,jun.,2022-06
T11381,U107,2024-05-12,Income,Investment,44031.0,Bank Transfr,HYD,Online course,2024,5,may.,2024-05
T5758,U049,2023-04-08,Expense,Rent,21771.0,UPI,chennai,,2023,4,abr.,2023-04
T12059,U077,2021-12-11,Income,Salary,24920.0,UPI,chennai,Online course,2021,12,dic.,2021-12
T8889,U131,2021-07-01,Expense,Savings,8861.0,Bank Transfr,PUNE,...,2021,7,jul.,2021-07
T10327,U136,2022-05-25,Expense,Health,4201.0,Bank_Transfer,KOL,Online course,2022,5,may.,2022-05
T4967,U113,2022-02-17,Expense,Rent,47473.0,Banktransfer,hyderabad,Online course,2022,2,feb.,2022-02
T11849,U040,2021-12-06,Income,Investment,75822.0,Cash,Mumbai,Medicine,2021,12,dic.,2021-12
T5167,U014,2021-10-26,Expense,Food,677.0,Bank_Transfer,MUMBAI,Medicine,2021,10,oct.,2021-10
T3952,U120,2024-08-26,Expense,Rent,43252.0,Cash,delhi,test,2024,8,ago.,2024-08
T5844,U086,2021-04-24,Expense,Food,2615.0,Crd,Lucknow,ATM withdrawal,2021,4,abr.,2021-04
T13040,U009,2024-04-06,Expense,Food,2855.0,UPI,BAN,misc,2024,4,abr.,2024-04
T3167,U145,2021-11-28,Income,Bonus,57358.0,Cash,Delhi,!!!,2021,11,nov.,2021-11
T8867,U105,2022-11-14,Expense,Unknown,6348.0,Crd,mumbai,Medicine,2022,11,nov.,2022-11
T5926,U016,2024-07-13,Expense,Rent,4583.0,Bank_Transfer,,Lunch,2024,7,jul.,2024-07
T13662,U129,2021-10-18,Expense,Others,4952.0,Cash,HYDERABAD,ATM withdrawal,2021,10,oct.,2021-10
T13593,U018,2024-11-03,Expense,Others,3941.0,Bank Transfer,MUMBAI,Lunch,2024,11,nov.,2024-11
T12216,U116,2023-04-21,Income,Others,47262.0,Banktransfer,KOL,,2023,4,abr.,2023-04
T8335,U001,2021-06-19,Expense,Entertainment,1998.0,UPI,Lucknow,Internet bill,2021,6,jun.,2021-06
T4933,U018,2021-03-17,Expense,Food,8124.0,Unknown,PUNE,Coffee,2021,3,mar.,2021-03
T7036,U105,2021-12-01,Expense,Travel,1326.0,Card,,asdfgh,2021,12,dic.,2021-12
T9072,U066,2024-09-26,Expense,Savings,4328.0,UPI,MUMBAI,Medicine,2024,9,sep.,2024-09
T8270,U081,2023-04-04,Expense,Food,276.0,Bank_Transfer,Pune,Restaurant dinner,2023,4,abr.,2023-04
T12265,U094,2022-04-02,Expense,Utilities,4215.0,Crd,hyderabad,ATM withdrawal,2022,4,abr.,2022-04
T4637,U005,2023-11-04,Expense,Utilities,6316.0,UPI,PUN,ATM withdrawal,2023,11,nov.,2023-11
T9022,U089,2024-03-10,Expense,Rent,21376.0,UPI,CHE,test,2024,3,mar.,2024-03
T7016,U145,2021-01-09,Expense,Utilities,7391.0,Cash,hyderabad,Uber ride,2021,1,ene.,2021-01
T12109,U144,2023-05-31,Expense,Travel,2990.0,UPI,MUM,Train ticket,2023,5,may.,2023-05
T9952,U045,2022-12-24,Expense,Utilities,2230.0,Unknown,delhi,ATM withdrawal,2022,12,dic.,2022-12
T13401,U064,2021-09-17,Expense,Food,6197.0,UPI,,xyz123,2021,9,sep.,2021-09
T11100,U142,2021-05-06,Expense,Food,6502.0,Card,jaipur,Shopping,2021,5,may.,2021-05
T4072,U067,2021-11-07,Expense,Unknown,6902.0,Crd,DELHI,Petrol,2021,11,nov.,2021-11
T9115,U060,2022-04-21,Expense,Entertainment,9939.0,Bank Transfer,pune,,2022,4,abr.,2022-04
T2668,U126,2022-12-30,Expense,Rent,1518.0,Bank Transfer,LUC,Electricity bill,2022,12,dic.,2022-12
T1256,U035,2021-03-06,Expense,Travel,2985.0,Cash,Delhi,Restaurant dinner,2021,3,mar.,2021-03
T7219,U002,2024-06-28,Expense,Education,3150.0,Bank Transfr,ahmedabad,,2024,6,jun.,2024-06
T7845,U014,2024-12-27,Expense,Utilities,6671.0,UPI,ahmedabad,Doctor consultation,2024,12,dic.,2024-12
T4986,U124,2023-07-04,Expense,Travel,1409.0,UPI,chennai,xyz123,2023,7,jul.,2023-07
T1883,U047,2024-07-20,Expense,Education,2497.0,Bank Transfr,KOL,!!!,2024,7,jul.,2024-07
T7034,U108,2021-03-24,Expense,Utilities,6324.0,Crd,Chennai,Gym membership,2021,3,mar.,2021-03
T11835,U125,2022-12-04,Expense,Education,7315.0,Bank Transfr,jaipur,,2022,12,dic.,2022-12
T0231,U031,2023-02-08,Expense,Utilities,7080.0,Bank_Transfer,kolkata,test,2023,2,feb.,2023-02
T2017,U090,2022-01-14,Expense,Utilities,7821.0,Cash,PUN,test,2022,1,ene.,2022-01
T9479,U114,2021-08-14,Expense,Rent,988.0,UPI,,Restaurant dinner,2021,8,ago.,2021-08
T1312,U070,2022-12-15,Income,Freelance,23504.0,Bank Transfer,HYDERABAD,Electricity bill,2022,12,dic.,2022-12
T0010,U017,2024-04-19,Expense,Unknown,1064.0,Cash,AHM,Books,2024,4,abr.,2024-04
T11433,U083,2021-10-12,Expense,Food,2683.0,Cash,DELHI,xyz123,2021,10,oct.,2021-10
T4446,U017,2023-11-30,Expense,Food,5022.0,Cash,Hyderabad,Internet bill,2023,11,nov.,2023-11
T2782,U093,2021-04-01,Expense,Food,7849.0,Unknown,Pune,Petrol,2021,4,abr.,2021-04
T11291,U040,2024-06-10,Income,Bonus,33565.0,Cash,HYDERABAD,Gym membership,2024,6,jun.,2024-06
T6224,U092,2024-11-04,Income,Salary,66678.0,Bank Transfr,Chennai,EMI payment,2024,11,nov.,2024-11
T4124,U119,2024-05-03,Expense,Education,6304.0,UPI,PUNE,Fixed deposit,2024,5,may.,2024-05
T10115,U091,2022-02-23,Income,Freelance,50009.0,Bank Transfer,PUNE,,2022,2,feb.,2022-02
T3531,U134,2021-07-08,Expense,Food,5811.0,Bank Transfer,Pune,,2021,7,jul.,2021-07
T1066,U057,2023-02-05,Expense,Entertainment,7713.0,UPI,pune,Monthly rent payment,2023,2,feb.,2023-02
T9037,U142,2022-12-19,Income,Salary,70693.0,Cash,AHMEDABAD,,2022,12,dic.,2022-12
T12498,U012,2024-03-20,Expense,Health,2603.0,Cash,Kolkata,Monthly rent payment,2024,3,mar.,2024-03
T6556,U037,2023-12-22,Expense,Food,314.0,Cash,MUM,Train ticket,2023,12,dic.,2023-12
T4233,U089,2024-10-30,Expense,Education,9806.0,Bank_Transfer,CHENNAI,Petrol,2024,10,oct.,2024-10
T1925,U060,2023-02-04,Expense,Food,3762.0,Banktransfer,HYD,,2023,2,feb.,2023-02
T9678,U092,2021-03-15,Expense,Travel,9891.0,UPI,,Grocery shopping,2021,3,mar.,2021-03
T3468,U143,2024-08-09,Expense,Health,6869.0,Crd,Jaipur,asdfgh,2024,8,ago.,2024-08
T2217,U113,2023-04-02,Expense,Rent,6756.0,Bank_Transfer,PUN,,2023,4,abr.,2023-04
T7901,U028,2021-09-07,Expense,Entertainment,356.0,Banktransfer,jaipur,,2021,9,sep.,2021-09
T9324,U093,2021-10-03,Income,Others,20156.0,Cash,Pune,,2021,10,oct.,2021-10
T6515,U121,2024-03-16,Expense,Health,3790.0,Crd,AHM,...,2024,3,mar.,2024-03
T3401,U071,2021-07-10,Expense,Unknown,6766.0,Card,BANGALORE,Gym membership,2021,7,jul.,2021-07
T2246,U061,2021-01-04,Expense,Food,3765.0,Bank Transfer,Chennai,Fixed deposit,2021,1,ene.,2021-01
T7960,U028,2021-07-25,Expense,Entertainment,4638.0,Card,,!!!,2021,7,jul.,2021-07
T13793,U141,2021-09-23,Income,Freelance,11650.0,Cash,HYD,!!!,2021,9,sep.,2021-09
T7316,U144,2024-02-22,Expense,Utilities,5790.0,Unknown,PUN,misc,2024,2,feb.,2024-02
T4875,U076,2024-06-16,Expense,Rent,12435.0,UPI,Lucknow,,2024,6,jun.,2024-06
T1216,U042,2022-01-31,Income,Investment,31183.0,Bank Transfer,Jaipur,Shopping,2022,1,ene.,2022-01
T11898,U035,2023-04-13,Expense,Food,775.0,UPI,,Monthly rent payment,2023,4,abr.,2023-04
T3071,U139,2021-11-03,Expense,Entertainment,8230.0,Bank_Transfer,lucknow,EMI payment,2021,11,nov.,2021-11
T12468,U043,2024-12-14,Expense,Rent,5582.0,UPI,AHMEDABAD,Monthly rent payment,2024,12,dic.,2024-12
T5511,U114,2024-04-20,Expense,Food,5918.0,Bank Transfer,Pune,,2024,4,abr.,2024-04
T5607,U093,2024-02-05,Income,Investment,73830.0,UPI,PUNE,xyz123,2024,2,feb.,2024-02
T9770,U040,2021-02-21,Expense,Rent,23340.0,Crd,lucknow,Doctor consultation,2021,2,feb.,2021-02
T11278,U009,2022-07-19,Expense,Rent,40813.0,UPI,delhi,Books,2022,7,jul.,2022-07
T10427,U077,2024-12-31,Expense,Utilities,3414.0,UPI,pune,test,2024,12,dic.,2024-12
T1377,U044,2022-03-31,Expense,Food,2033.0,UPI,MUMBAI,EMI payment,2022,3,mar.,2022-03
T2469,U038,2023-11-30,Income,Bonus,44932.0,Bank Transfr,KOL,Lunch,2023,11,nov.,2023-11
T6621,U104,2022-08-14,Expense,Food,999999.0,Cash,Jaipur,xyz123,2022,8,ago.,2022-08
T7679,U079,2024-05-03,Expense,Education,2274.0,Cash,HYDERABAD,Grocery shopping,2024,5,may.,2024-05
T8635,U039,2023-02-28,Expense,Travel,330.0,Bank Transfer,chennai,,2023,2,feb.,2023-02
T4874,U123,2024-12-30,Expense,Travel,8592.0,Cash,PUN,Lunch,2024,12,dic.,2024-12
T3143,U025,2023-05-01,Expense,Rent,6779.0,Cash,Delhi,Monthly rent payment,2023,5,may.,2023-05
T13475,U033,2022-12-01,Income,Investment,29235.0,Bank Transfer,,xyz123,2022,12,dic.,2022-12
T8560,U023,2023-04-02,Expense,Health,2143.0,Card,delhi,asdfgh,2023,4,abr.,2023-04
T8417,U089,2022-05-17,Expense,Food,4945.0,Crd,ahmedabad,test,2022,5,may.,2022-05
T8379,U106,2021-10-16,Expense,Entertainment,8152.0,UPI,DELHI,Uber ride,2021,10,oct.,2021-10
T13913,U006,2022-12-07,Expense,Others,7300.0,Bank_Transfer,pune,!!!,2022,12,dic.,2022-12
T11359,U135,2024-06-04,Expense,Food,4603.0,Bank Transfer,AHMEDABAD,EMI payment,2024,6,jun.,2024-06
T8916,U035,2022-10-13,Expense,Entertainment,4719.0,Card,MUM,Coffee,2022,10,oct.,2022-10
T5752,U112,2022-05-12,Expense,Rent,27792.0,Bank Transfer,PUN,Doctor consultation,2022,5,may.,2022-05
T11316,U053,2022-10-06,Expense,Travel,6691.0,Card,HYD,Doctor consultation,2022,10,oct.,2022-10
T4377,U065,2022-04-05,Expense,Rent,5935.0,Bank Transfr,HYD,Coffee,2022,4,abr.,2022-04
T10191,U150,2024-02-26,Expense,Travel,9750.0,UPI,mumbai,ATM withdrawal,2024,2,feb.,2024-02
T10267,U128,2021-10-19,Expense,Rent,6484.0,UPI,JAI,Fixed deposit,2021,10,oct.,2021-10
T10019,U029,2024-02-18,Expense,Entertainment,2398.0,Bank Transfer,LUC,Medicine,2024,2,feb.,2024-02
T1053,U081,2021-08-25,Expense,Food,498.0,Cash,delhi,Coffee,2021,8,ago.,2021-08
T2960,U124,2022-09-05,Expense,Rent,35588.0,Cash,JAIPUR,Grocery shopping,2022,9,sep.,2022-09
T5402,U053,2021-11-02,Income,Others,13131.0,Card,Lucknow,Fixed deposit,2021,11,nov.,2021-11
T1989,U027,2024-06-08,Expense,Health,6321.0,Cash,AHM,ATM withdrawal,2024,6,jun.,2024-06
T7284,U114,2023-08-30,Expense,Rent,28207.0,Banktransfer,,Fixed deposit,2023,8,ago.,2023-08
T1195,U102,2023-06-08,Expense,Rent,10749.0,Cash,lucknow,Uber ride,2023,6,jun.,2023-06
T6008,U053,2023-05-21,Expense,Food,2232.0,Unknown,PUN,Books,2023,5,may.,2023-05
T11465,U149,2022-03-30,Expense,Savings,8161.0,Card,Bangalore,Restaurant dinner,2022,3,mar.,2022-03
T8940,U088,2024-11-05,Expense,Unknown,3825.0,Cash,Bangalore,,2024,11,nov.,2024-11
T2577,U075,2022-07-13,Expense,Utilities,4923.0,Bank Transfer,MUMBAI,,2022,7,jul.,2022-07
T6064,U104,2023-11-04,Expense,Food,1078.0,Bank_Transfer,DELHI,,2023,11,nov.,2023-11
T1619,U053,2021-02-16,Income,Investment,74630.0,Banktransfer,AHM,,2021,2,feb.,2021-02
T1405,U109,2022-12-02,Income,Freelance,14180.0,Cash,mumbai,Online course,2022,12,dic.,2022-12
T0352,U149,2024-08-11,Expense,Utilities,8479.0,UPI,Bangalore,Monthly rent payment,2024,8,ago.,2024-08
T5467,U104,2023-11-05,Expense,Food,5292.0,Bank_Transfer,hyderabad,Gym membership,2023,11,nov.,2023-11
T10397,U013,2022-10-20,Expense,Travel,3942.0,Bank_Transfer,Lucknow,!!!,2022,10,oct.,2022-10
T12923,U075,2023-09-01,Expense,Entertainment,8943.0,Crd,Pune,Monthly rent payment,2023,9,sep.,2023-09
T2497,U149,2022-11-22,Expense,Utilities,3159.0,Card,DELHI,ATM withdrawal,2022,11,nov.,2022-11
T12309,U024,2023-12-18,Expense,Rent,12484.0,Crd,BAN,,2023,12,dic.,2023-12
T6608,U081,2023-06-04,Expense,Rent,4331.0,Cash,HYDERABAD,Train ticket,2023,6,jun.,2023-06
T4870,U014,2024-10-04,Expense,Rent,9348.0,Bank Transfer,JAIPUR,,2024,10,oct.,2024-10
T12187,U060,2024-06-26,Expense,Food,8174.0,Bank Transfer,Pune,,2024,6,jun.,2024-06
T13685,U047,2021-08-03,Income,Investment,74243.0,Cash,JAIPUR,Shopping,2021,8,ago.,2021-08
T6605,U124,2023-10-17,Expense,Food,8640.0,Cash,Jaipur,Coffee,2023,10,oct.,2023-10
